Default,Rev_gr,EBITDA_gr,Cap_gr,CR,QR,Cash_ratio,WC_cycle,DTA,DTE,LR,EBITDA_debt,IC,CTI,IC_CF,DCR,CFR,CRA,CRE,ROA,ROE,NPM,GPM,OPM,RecT,InvT,PayT,TA,FA,WC
0,1.68,0.78,1.09,5.51,0.85,0.03,97.08,0.23,0.31,1.33,0.47,5.33,-1.21,0.00,-0.63,-0.10,-0.16,-0.20,0.07,0.09,0.04,0.10,0.07,17.89,4.64,186.44,1.57,3.79,3.20
0,1.40,1.34,2.01,2.51,0.27,0.11,166.65,0.30,0.49,1.63,1.31,58.77,-0.73,0.00,-1.00,-0.12,-0.28,-0.65,0.28,0.67,0.13,0.18,0.16,28.16,2.30,71.82,2.22,76.82,4.14
0,0.80,0.23,1.20,0.89,0.67,0.11,35.66,0.31,0.84,2.69,0.29,13.52,1.65,27.57,0.44,0.07,0.17,0.40,0.07,0.18,0.03,0.07,0.04,5.21,37.13,8.25,2.56,7.96,-29.18
0,1.20,1.82,1.59,2.55,0.96,0.01,263.23,0.16,1.22,7.41,0.79,2.75,-0.77,0.00,-0.58,-0.18,-0.10,-0.86,0.06,0.56,0.12,0.68,0.23,2.17,3.85,0.58,0.53,2.92,1.03
0,1.00,1.00,1.00,6.56,4.70,2.72,33.15,0.01,0.08,11.86,19.50,290.50,-2.26,0.00,-32.51,-0.23,-0.24,-5.11,0.10,2.01,0.09,0.33,0.10,7.62,110.08,20.22,1.07,7.23,1.35
0,0.31,0.30,1.91,10.63,0.48,0.09,13.96,0.08,0.08,1.09,1.21,0.00,-2.54,0.00,-3.03,-0.51,-0.30,-0.33,0.10,0.10,0.16,0.24,0.20,22.24,0.61,148.71,0.60,6.08,0.57
0,2.46,5.27,1.15,12.69,2.60,0.39,48.66,0.00,0.00,1.09,1.00,0.00,0.08,0.00,0.00,0.02,0.02,0.03,0.11,0.14,0.10,1.00,0.10,7.50,0.00,0.01,1.16,74.42,1.36
0,5.64,2.46,4.48,1.20,0.54,0.21,44.43,0.00,0.00,5.90,1.00,0.00,1.77,0.00,0.00,0.10,0.26,1.44,0.12,0.66,0.05,0.10,0.06,9.55,6.76,7.64,2.61,1 284.55,8.91
0,4.43,44.77,1.15,4.22,3.07,0.14,54.63,0.01,0.01,1.17,218.00,18.03,0.00,11.82,0.02,0.00,0.00,0.00,0.12,0.14,0.06,0.08,0.07,6.24,18.29,15.34,1.96,3.46,3.83
0,1.44,1.86,1.57,1.93,1.83,0.53,20.45,0.13,0.28,2.27,1.69,35.59,0.21,29.53,0.44,0.01,0.07,0.15,0.22,0.45,0.03,0.07,0.04,9.49,267.43,18.82,6.59,479.77,10.10
0,3.36,-1.00,0.78,1.09,1.04,1.00,357.05,0.00,0.00,3.44,0.00,0.00,-6.50,0.00,0.00,0.43,0.63,1.33,-0.12,-0.24,-0.08,0.97,-0.07,22.87,1.07,0.14,1.46,6.82,16.25
0,2.64,9.10,1.93,1.49,1.24,1.05,-12.65,0.06,0.11,2.04,6.04,39.42,1.71,77.35,10.35,0.21,0.81,1.53,0.43,0.81,0.11,0.15,0.12,38.10,20.29,9.08,3.81,16.74,10.67
0,1.22,0.00,0.98,3.91,0.08,0.06,173.73,0.09,0.11,1.20,-0.19,-1.52,8.46,6.26,-1.63,-0.09,-0.13,-0.18,-0.02,-0.02,-0.01,0.40,-0.01,364.65,1.81,12.51,1.42,4.31,3.15
0,1.00,1.00,1.00,0.95,0.19,0.18,90.76,0.27,3.05,11.18,0.21,464.47,-2.97,-1 199.18,-0.63,-0.68,-0.24,-3.85,0.08,1.31,0.23,0.29,0.23,65.11,4.29,0.74,0.36,1.46,-6.75
0,0.98,-1.00,0.37,0.80,0.41,0.41,-12.08,0.32,9.62,29.68,-0.52,-3.15,-0.29,2.90,0.15,0.05,0.06,0.79,-0.07,-0.92,-0.06,0.18,-0.18,287.46,8.44,6.45,1.06,1.44,-16.98
0,1.06,0.84,0.00,0.65,0.20,0.06,29.60,0.89,-3.62,-4.07,0.63,8.00,-10.29,20.34,1.47,0.25,1.31,-7.24,-0.13,0.72,-0.03,0.11,0.11,24.10,8.41,12.61,5.21,29.72,-11.97
0,1.48,0.10,0.00,1.67,0.91,0.08,19.23,1.18,-5.63,-4.77,0.00,0.03,9.46,1.67,0.02,0.07,0.04,-0.14,0.00,-0.01,0.01,1.00,0.01,18.98,0.00,0.00,0.50,0.53,19.24
0,1.00,1.00,2.26,1.37,0.56,0.02,464.94,0.23,3.25,14.27,0.31,0.00,1.13,0.00,0.18,0.11,0.07,0.83,0.06,0.74,0.09,0.18,0.18,2.05,1.19,19.39,0.63,18.73,1.51
0,1.51,0.94,0.00,26.29,15.76,0.26,296.86,0.56,-2.77,-4.95,0.18,4.75,1.72,-18.07,-0.75,-0.87,-0.59,0.74,-0.35,0.44,-0.51,-0.21,0.21,1.62,2.61,5.31,0.68,4.63,0.64
0,1.00,1.00,1.00,1.18,0.58,0.09,61.51,0.28,0.67,2.42,0.14,0.61,0.91,2.23,0.13,0.04,0.04,0.09,0.02,0.04,0.02,0.28,0.04,4.00,2.43,2.03,0.86,1.80,10.88
0,0.97,1.09,1.05,8.10,5.96,1.64,106.00,0.00,0.00,2.27,1.00,0.33,2.53,2.23,0.00,0.05,0.05,0.13,0.02,0.05,0.02,0.65,0.02,5.96,4.32,9.17,1.03,1.53,3.62
0,2.39,1.17,1.55,0.73,0.07,0.00,269.86,0.05,0.83,15.56,0.61,0.00,7.62,0.00,4.64,0.58,0.31,4.66,0.03,0.43,0.05,0.28,0.08,13.61,1.00,3.03,0.54,1.34,-1.76
0,4.64,0.00,0.00,0.48,0.00,0.00,-276.05,0.64,-4.22,-6.59,-0.08,-0.60,-2.00,2.30,0.16,2.02,0.11,-0.84,-0.05,0.42,-1.01,0.94,-1.01,1 689.97,0.32,1.32,0.05,0.06,-0.47
0,1.15,1.56,0.08,1.16,0.10,0.10,59.64,0.12,0.34,2.94,4.60,6.49,1.33,11.07,6.11,0.25,0.70,0.31,0.33,0.14,0.12,0.47,0.19,0.00,2.91,5.54,2.80,7.82,30.62
0,0.39,0.23,0.86,3.47,1.86,0.00,261.56,0.43,1.57,3.70,0.09,0.91,0.23,1.09,-0.02,-0.05,-0.01,-0.03,-0.04,-0.12,-0.23,0.24,0.24,1.09,0.97,5.01,0.18,0.27,0.69
0,0.95,1.20,1.36,1.17,0.37,0.00,243.50,0.47,2.62,5.57,0.41,5.48,0.61,3.55,0.19,0.27,0.12,0.58,0.19,0.91,0.43,0.59,0.59,7.20,1.84,60.83,0.44,0.53,13.82
0,1.35,-1.00,0.78,0.65,0.19,0.06,62.30,0.58,2.65,4.59,-0.01,-0.15,-16.16,5.97,0.20,0.16,0.11,0.45,-0.06,-0.25,-0.08,0.53,-0.01,23.44,7.81,0.01,0.69,0.80,-8.90
0,1.61,87.56,1.15,1.02,0.78,0.00,112.80,0.30,2.70,8.87,0.48,4.71,-3.96,-0.91,-0.25,-0.02,-0.06,-0.72,0.01,0.14,0.00,0.05,0.05,3.49,27.40,72.08,2.50,33.97,149.86
0,0.00,0.00,0.53,28.49,27.42,27.42,0.00,0.27,0.38,1.42,-0.45,-47.31,-5.57,273.25,2.51,0.00,0.58,0.66,-0.10,-0.12,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00
0,0.81,1.00,1.23,0.84,0.45,0.02,154.34,0.63,5.69,9.04,0.12,1.36,-4.94,-6.92,-0.44,-0.37,-0.29,-2.76,0.05,0.46,0.06,0.18,0.07,2.24,2.15,2.04,0.78,2.51,-5.73
0,1.04,1.19,1.08,1.33,0.66,0.00,69.34,0.35,1.41,3.96,0.36,1.86,-1.35,-1.63,-0.43,-0.06,-0.16,-0.62,0.04,0.15,0.01,0.08,0.04,6.19,9.44,12.88,2.98,68.86,11.88
0,1.16,1.30,1.39,1.18,0.42,0.02,78.52,0.43,2.25,5.22,0.21,2.54,-2.15,-4.19,-0.46,-0.09,-0.21,-1.20,0.06,0.32,0.03,0.04,0.04,7.03,3.67,5.02,2.30,58.77,14.38
0,0.62,0.60,1.43,1.33,0.73,0.35,243.46,0.16,0.31,2.00,2.31,27.18,0.30,12.18,0.64,0.15,0.10,0.24,0.21,0.50,0.31,0.62,0.49,6.05,1.68,10.60,0.67,1.43,5.33
0,0.98,0.59,0.82,1.15,0.35,0.06,318.35,0.50,1.59,3.17,0.16,2.52,-0.37,0.26,-0.04,-0.03,-0.02,-0.06,0.04,0.11,0.06,0.38,0.09,3.35,1.18,3.69,0.66,2.29,7.21
0,1.08,0.73,0.87,0.88,0.14,0.08,83.40,0.34,0.76,2.26,0.39,2.98,1.68,7.28,0.48,0.13,0.17,0.34,0.05,0.11,0.04,0.42,0.08,48.80,3.23,9.80,1.29,2.45,-20.85
0,1.25,2.40,0.94,1.98,0.40,0.19,167.90,0.24,0.41,1.74,0.28,3.12,-2.33,-6.48,-0.66,-0.20,-0.16,-0.26,0.04,0.07,0.05,0.15,0.08,7.48,2.58,16.17,0.84,2.53,2.20
0,1.43,2.15,2.17,1.01,0.49,0.24,13.72,0.25,0.76,3.05,0.65,3.48,0.61,13.06,0.37,0.04,0.10,0.38,0.12,0.44,0.05,0.16,0.07,14.50,8.44,6.67,2.35,8.26,246.33
0,1.43,2.15,2.17,1.01,0.49,0.24,13.72,0.25,0.76,3.05,0.65,3.48,0.61,13.06,0.37,0.04,0.10,0.38,0.12,0.44,0.05,0.16,0.07,14.50,8.44,6.67,2.35,8.26,246.33
0,1.18,1.24,1.14,4.31,1.53,0.09,196.66,0.06,0.07,1.25,5.66,238.66,0.48,267.31,2.62,0.11,0.17,0.21,0.27,0.34,0.18,0.50,0.23,7.54,1.91,8.48,1.52,4.35,2.91
0,0.00,2.24,1.22,0.00,1.00,1.00,0.00,0.11,0.14,1.26,2.03,144.64,-0.87,-4.49,-1.77,0.00,-0.21,-0.27,0.15,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,1.43,2.15,2.17,1.01,0.49,0.24,13.72,0.25,0.76,3.05,0.65,3.48,0.61,13.06,0.37,0.04,0.10,0.38,0.12,0.44,0.05,0.16,0.07,14.50,8.44,6.67,2.35,8.26,246.33
0,1.43,2.15,2.17,1.01,0.49,0.24,13.72,0.25,0.76,3.05,0.65,3.48,0.61,13.06,0.37,0.04,0.10,0.38,0.12,0.44,0.05,0.16,0.07,14.50,8.44,6.67,2.35,8.26,246.33
0,1.85,3.12,1.99,1.28,0.27,0.03,21.40,0.15,0.57,3.83,1.01,8.36,-0.34,0.25,-0.34,-0.01,-0.07,-0.26,0.18,0.67,0.02,0.05,0.02,45.92,11.48,19.91,8.49,132.52,29.93
0,0.98,1.05,1.03,1.56,0.71,0.01,184.64,0.24,0.55,2.27,0.84,5.92,-0.20,2.06,-0.14,-0.04,-0.03,-0.08,0.11,0.24,0.14,0.42,0.22,2.90,3.00,5.79,0.78,1.82,3.63
0,1.13,1.37,1.02,7.30,1.25,0.76,9.25,0.09,0.11,1.19,15.50,61.23,0.12,0.00,1.68,0.08,0.11,0.18,0.77,1.23,0.53,0.71,0.67,89.15,48.92,158.54,1.44,3.54,4.50
0,9.05,1.00,0.00,1.60,0.10,0.09,69.93,0.25,-2.17,-8.69,0.07,0.30,-190.18,-56.12,-1.48,-0.67,-0.43,3.28,-0.01,0.04,-0.01,0.15,0.00,40.61,1.65,2.27,0.64,1.58,2.33
0,0.50,1.00,0.00,0.75,0.46,0.03,200.19,0.16,-0.96,-6.07,1.31,14.28,-1.38,-14.14,-1.52,-0.11,-0.14,1.01,0.08,-0.61,0.07,0.16,0.08,2.45,7.09,0.82,1.23,13.46,-7.54
0,1.22,2.10,2.72,1.19,0.21,0.03,142.94,0.09,0.64,7.55,1.02,27.06,-0.08,0.43,-0.08,-0.01,-0.01,-0.08,0.10,0.92,0.08,0.23,0.08,8.11,2.05,4.58,1.25,0.00,6.55
0,2.08,1.81,0.00,0.41,0.00,0.00,121.72,0.22,-0.24,-1.07,0.46,0.66,6.25,5.12,2.64,1.13,0.65,-0.65,-0.06,0.06,-0.10,0.25,0.19,12.59,5.24,-15.79,0.58,2.25,-0.49
0,1.48,1.16,1.74,3.02,3.01,3.00,325.47,0.30,0.70,2.29,0.74,6.75,1.00,8.70,0.73,0.55,0.26,0.64,0.19,0.46,0.39,1.00,0.55,24.99,0.00,-1.17,0.47,65.65,0.60
0,1.14,1.00,0.12,0.92,0.14,0.05,91.65,0.54,199.24,369.36,0.13,0.77,1.51,2.17,0.20,0.04,0.11,8.67,-0.02,-1.57,-0.01,0.17,0.03,28.19,2.67,6.29,2.46,26.08,-30.32
0,1.21,1.60,0.99,4.45,0.30,0.14,236.99,0.15,0.22,1.48,0.76,2.80,-0.16,4.48,-0.07,-0.01,-0.01,-0.02,0.05,0.07,0.04,0.26,0.06,59.41,1.19,4.82,1.16,5.34,1.93
0,7.12,1.23,4.02,3.16,0.18,0.10,-52.81,0.64,10.71,16.68,0.15,1.90,-0.29,0.00,-0.02,0.00,-0.01,-0.34,0.04,1.20,0.01,1.00,0.02,17.35,0.00,4.94,4.73,155.53,9.24
0,1 444.83,1 741.52,1 362.36,1.15,0.60,0.06,93.48,0.26,0.62,2.42,0.74,5.04,1.23,8.13,0.61,0.09,0.16,0.77,0.10,0.51,0.06,0.21,0.08,6.04,5.73,11.92,1.69,4.45,21.26
0,1.56,1.00,1.14,4.22,3.93,3.91,25.88,0.13,0.16,1.17,0.99,8.12,0.72,10.31,0.72,0.21,0.10,0.12,0.14,0.16,0.28,0.57,0.25,232.93,11.50,49.16,0.49,0.84,1.50
0,-1.00,3.05,4.29,1.01,1.01,0.00,0.00,0.54,31.50,58.33,0.23,2.83,-0.02,1.00,-0.01,0.00,0.00,-0.26,0.01,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0.58,0.00,1.05,2.00,0.56,0.04,462.26,0.28,0.41,1.46,0.00,1.05,-1.80,1.09,-0.20,-0.11,-0.06,-0.08,0.02,0.03,0.04,0.38,0.06,1.83,1.26,13.76,0.50,1.31,1.62
0,0.56,2.40,32.24,2.38,0.99,0.00,315.26,0.05,0.09,1.72,0.27,6.48,0.01,1.95,0.00,0.00,0.00,0.00,0.02,0.06,0.03,0.05,0.02,1.56,2.51,5.73,0.68,122.99,1.07
0,1.00,1.00,1.33,1.79,0.32,0.14,105.37,0.21,0.63,2.97,0.95,19.66,0.79,27.91,0.73,0.17,0.20,0.53,0.26,0.69,0.22,0.55,0.18,17.60,2.08,4.01,1.20,2.30,4.25
0,1.03,0.23,3.72,1.00,1.00,1.00,0.00,0.40,0.85,2.11,0.08,0.00,4.59,0.00,0.36,0.77,0.26,0.48,0.05,0.10,0.16,1.00,0.17,0.00,0.00,0.00,0.33,0.34,13.90
0,0.74,0.61,2.85,1.33,0.48,0.47,328.05,0.54,1.17,2.17,0.11,0.78,1.00,1.84,0.04,0.06,0.03,0.06,0.04,0.08,0.07,0.13,0.06,7.24,1.18,11.63,0.50,1.83,1.81
0,1.23,3.85,1.36,1.77,0.40,0.05,139.56,0.29,0.62,2.16,0.71,6.36,0.23,3.45,0.16,0.02,0.05,0.12,0.13,0.32,0.06,0.21,0.10,13.90,2.30,8.03,2.20,57.10,5.13
0,1.18,1.44,1.17,127.20,30.41,4.26,199.86,0.32,0.47,1.48,0.39,5.88,7.73,56.01,3.60,1.00,1.30,1.82,0.14,0.19,0.11,0.16,0.11,11.02,1.84,11.61,1.30,4.80,1.51
0,1.41,4.16,1.09,1.73,0.72,0.30,55.36,0.28,0.39,1.40,0.91,41.73,-0.08,7.90,-0.07,-0.01,-0.02,-0.03,0.27,0.37,0.12,0.21,0.12,16.91,6.80,18.38,2.21,4.34,9.98
0,2.80,0.00,1.30,1.22,0.51,0.00,41.89,0.29,1.59,5.50,0.00,5.43,0.99,6.83,0.62,0.10,0.21,1.12,0.17,0.93,0.08,0.14,0.10,7.90,16.79,14.02,2.01,423.42,9.74
0,5.72,0.98,20.73,2.97,0.11,0.10,58.81,0.22,0.32,1.43,0.71,12.03,0.85,11.46,0.57,0.18,0.21,0.35,0.24,0.41,0.22,0.16,0.22,33.02,4.78,12.80,1.11,1.81,3.95
0,0.53,1.22,1.00,1.00,1.00,1.00,0.00,0.06,0.06,1.06,0.67,3.24,0.23,2.73,0.15,0.21,0.01,0.01,0.01,0.01,0.21,1.00,0.92,0.00,0.00,0.00,0.04,0.04,195.16
0,1.24,0.00,1.14,6.87,1.35,0.50,-43.07,0.01,0.02,1.69,-6.12,0.00,1.00,0.50,-6.12,-0.13,-0.08,-0.13,-0.08,-0.13,-0.13,0.44,-0.13,17.94,0.88,5.76,0.58,1.27,1.30
0,1.43,4.99,0.35,0.96,0.55,0.01,44.19,0.27,0.80,2.98,0.26,3.21,7.53,59.02,1.98,0.20,0.45,0.83,0.04,0.07,0.02,0.15,0.03,9.08,40.78,73.72,2.27,4.16,-108.69
0,1.47,1.45,1.40,2.56,1.23,1.23,32.34,0.19,0.24,1.24,0.89,5.89,0.56,6.06,0.49,0.05,0.11,0.14,0.10,0.13,0.05,0.14,0.09,0.00,11.29,0.00,2.17,2.94,12.06
0,1.40,1.20,1.51,1.23,0.90,0.73,13.53,0.21,0.81,3.82,0.64,5.77,6.54,39.61,3.19,0.58,1.04,3.11,0.14,0.41,0.08,0.21,0.09,9.29,7.16,4.76,1.80,10.39,7.31
0,1.06,0.26,0.88,0.80,0.57,0.04,276.81,0.27,2.57,9.38,0.32,0.52,1.00,1.64,0.04,0.02,0.01,0.10,0.01,0.08,0.01,0.53,0.02,1.75,5.34,0.46,0.86,2.37,-5.20
0,0.77,0.43,0.56,0.96,0.16,0.16,-285.81,0.21,0.80,3.77,0.89,0.99,5.30,45.63,1.14,0.83,0.23,0.66,-0.01,-0.03,-0.04,0.32,0.16,25.81,24.60,1.16,0.28,0.43,-22.12
0,1.34,1.81,2.29,0.95,0.28,0.26,-21.56,0.21,1.39,6.64,0.96,37.51,1.00,21.25,0.40,0.02,0.11,0.78,0.11,0.78,0.02,0.21,0.05,146.33,10.15,6.08,4.99,13.91,-118.58
0,0.75,0.74,1.53,2.17,1.90,0.01,102.24,0.32,0.60,1.86,0.68,9.15,-0.67,-3.55,-0.45,-0.07,-0.16,-0.32,0.21,0.42,0.10,0.17,0.11,2.84,26.97,9.22,2.21,268.18,3.67
0,1.82,4.18,1.79,1.25,0.34,0.03,18.22,0.31,0.91,2.91,1.19,15.14,0.01,4.38,0.02,0.00,0.01,0.02,0.29,0.88,0.15,0.45,0.23,10.49,5.37,4.32,1.99,6.78,12.71
0,1.24,2.98,1.58,3.36,1.82,1.15,27.33,0.19,0.28,1.48,1.55,126.41,1.00,128.41,1.55,0.27,0.30,0.54,0.30,0.54,0.27,0.33,0.27,13.39,6.31,6.32,1.12,1.97,3.57
0,2.93,2.85,1.51,1.61,1.11,0.45,31.27,0.10,0.18,1.76,2.92,10.18,0.83,11.34,2.27,0.08,0.28,0.48,0.24,0.41,0.07,0.19,0.10,15.18,8.84,10.72,3.41,9.92,12.56
0,1.56,1.00,1.14,4.22,3.93,3.91,25.88,0.13,0.16,1.17,0.99,8.12,0.72,10.31,0.72,0.21,0.10,0.12,0.14,0.16,0.28,0.57,0.25,232.93,11.50,49.16,0.49,0.84,1.50
0,3.02,-1.00,0.18,0.70,0.69,0.30,85.14,0.85,33.63,39.39,-0.05,-2.21,10.36,-27.36,-0.66,-1.82,-0.83,-6.86,-0.06,-0.51,-0.13,1.00,-0.13,4.29,0.00,-0.05,0.45,0.54,-8.54
0,1.37,0.60,1.16,1.02,0.62,0.10,22.35,0.11,2.26,21.40,0.21,1.56,5.23,7.52,0.39,0.03,0.04,0.94,0.01,0.15,0.01,0.12,0.02,2.48,19.03,2.54,1.37,86.20,57.39
0,1.07,1.33,1.68,1.80,1.51,0.00,329.88,0.28,1.64,5.93,0.25,10.29,17.45,182.77,4.34,1.51,1.40,8.92,0.08,0.51,0.09,0.11,0.09,1.89,2.67,0.48,0.92,5 051.63,1.78
0,0.97,0.73,1.30,1.00,1.00,1.00,0.00,0.26,0.35,1.35,0.72,8.93,1.05,10.73,0.75,0.38,0.22,0.30,0.18,0.24,0.31,1.00,0.36,0.00,0.00,0.00,0.59,0.66,3.80
0,514.98,1.01,1 636.40,1.16,0.41,0.04,85.00,0.10,0.51,5.04,0.00,1.26,-0.01,-0.46,0.00,0.00,0.00,0.00,0.03,0.16,0.04,0.11,0.00,2.42,3.61,2.19,0.71,9.87,2.82
0,1.31,1.83,0.00,0.64,0.31,0.19,35.80,0.27,-19.04,-69.96,0.34,12.96,0.84,12.67,0.15,0.06,0.07,-5.78,0.09,-6.86,0.07,1.00,0.07,10.20,0.00,0.15,1.30,3.37,-2.28
0,1.60,2.67,1.19,1.81,0.35,0.05,152.30,0.13,0.28,2.15,0.98,14.28,15.31,233.29,13.78,1.64,1.77,4.13,0.10,0.23,0.09,0.15,0.11,6.32,1.41,2.23,1.08,2.24,2.49
0,1.50,14.84,1.10,1.50,0.91,0.19,64.62,0.20,0.56,2.89,0.39,4.49,3.91,19.69,1.20,0.14,0.27,0.71,0.04,0.10,0.02,0.14,0.04,5.99,11.93,13.55,1.97,5.51,8.15
0,0.86,2.15,1.70,3.42,0.08,0.08,147.91,0.24,0.75,3.08,0.34,1.95,1.86,2.89,0.95,0.63,0.25,0.90,0.13,0.48,0.34,0.45,0.22,2 546.35,1.62,4.71,0.40,0.49,2.92
0,1.24,1.41,2.13,2.46,0.81,0.10,169.54,0.52,6.71,12.94,0.21,1.62,1.00,0.00,0.21,0.08,0.15,1.89,0.06,0.72,0.03,0.24,0.08,83.36,1.72,7.69,1.92,259.53,2.34
0,1.14,1.13,1.34,5.04,4.29,2.86,145.05,0.32,0.54,1.70,1.56,42.02,0.09,21.39,0.14,0.06,0.06,0.09,0.48,0.73,0.51,0.81,0.65,5.72,3.22,11.32,0.93,2.07,1.95
0,1.34,1.48,1.30,2.55,2.55,2.55,0.00,0.35,0.54,1.54,0.54,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.18,0.29,0.31,1.00,0.31,0.00,0.00,-0.01,0.59,5.84,0.99
0,1.55,1.62,1.31,1.01,0.56,0.12,-3.26,0.23,1.05,4.63,0.59,4.34,1.00,6.18,0.36,0.06,0.09,0.43,0.07,0.35,0.05,0.31,0.06,7.13,2.99,2.07,1.60,6.86,142.77
0,0.14,-1.00,0.78,2.10,1.13,1.33,-58.12,0.37,2.24,6.13,-0.03,0.00,1.00,0.00,-0.03,-0.09,-0.01,-0.07,-0.04,-0.27,-0.35,0.15,-0.09,-6.28,0.23,0.06,0.12,13.01,0.27
0,0.71,0.88,1.12,7.27,4.21,3.25,58.93,0.07,0.08,1.11,1.56,27.87,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.14,0.10,0.19,0.09,20.94,4.31,8.44,1.20,4.09,2.01
0,1.47,2.02,3.30,4.44,1.38,0.54,153.92,0.31,0.45,1.45,0.55,0.00,1.00,0.00,0.55,0.23,0.29,0.38,0.29,0.38,0.23,0.31,0.23,15.52,2.79,1 111.21,1.24,2.23,2.94
0,2.62,1.00,1.09,1.67,1.28,0.35,256.19,0.09,0.14,1.68,2.25,2.76,1.00,3.84,0.33,0.02,0.03,0.05,0.03,0.05,0.02,0.84,0.02,9.08,1.69,0.88,1.74,3.99,6.47
0,1.31,1.83,0.00,0.64,0.31,0.19,35.80,0.27,-19.04,-69.96,0.34,12.96,0.84,12.67,0.15,0.06,0.07,-5.78,0.09,-6.86,0.07,1.00,0.07,10.20,0.00,0.15,1.30,3.37,-2.28
0,0.96,-1.00,0.00,0.25,0.14,0.00,99.98,0.00,0.00,-0.35,0.00,0.00,-0.04,0.00,0.00,0.00,0.01,-0.02,-0.14,0.36,-0.09,0.85,-0.09,36.76,4.05,0.49,1.51,1.62,-3.93
0,1.14,1.68,1.00,0.44,0.18,0.01,-15.35,0.19,0.92,4.94,0.36,1.96,-2.08,-2.99,-0.73,-0.11,-0.15,-0.68,0.04,0.16,0.03,0.11,0.05,8.54,11.89,4.11,1.40,2.17,-3.07
